Model,F1 Score,Precision,Recall,AUC,Accuracy
Random Forest,0.3436619718309859,0.6752767527675276,0.2304785894206549,0.8046511401499178,0.8853722531977698
Logistic Regression,0.3314393939393939,0.6679389312977099,0.22040302267002518,0.7952182374596806,0.884224335847819
Decision Tree,0.3663003663003663,0.6711409395973155,0.2518891687657431,0.7878261166896521,0.8865201705477206
k-NN,0.3644289450741064,0.5920679886685553,0.26322418136020154,0.756517228573274,0.8804526074122663
SVM,0.35315985130111527,0.6737588652482269,0.23929471032745592,0.6878630642336376,0.8858642177763201
